,text,0,1,2,3,4,5,6,7,8,9,10,11,12
36,"Ottoni, C.; van Neer, W.; de Cupere, B.; Daligault, J.; Guimaraes, S.; Peters, J.; Spassov, N.; Prendergast, M. E.; Boivin, N.; Morales-Muñiz, A.; Bălăşescu, A.; Becker, C.; Benecke, N.; Boroneant, A.; Buitenhuis, H.; Chahoud, J.; Crowther, A.; Llorente, L.; Manaseryan, N.; Monchot, H.; Onar, V.; Osypińska, M.; Putelat, O.; Quintana Morales, E.M.; Studer, J.; Wierer, U.; Decorte, R.; Grange, T.; Geigl, E. (2017). ""The palaeogenetics of cat dispersal in the ancient world"". Nature Ecology & Evolution. 1 (7): 0139. Bibcode:2017NatEE...1..139O. doi:10.1038/s41559-017-0139. S2CID 44041769. Archived from the original on 7 March 2022. Retrieved 18 October 2021.",https://research.rug.nl/en/publications/the-paleogenetics-of-cat-dispersal-in-the-ancient-world(04942e78-fa48-4700-ad97-29fcdf9077a1).html,/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2017NatEE...1..139O,/wiki/Doi_(identifier),https://doi.org/10.1038%2Fs41559-017-0139,/wiki/S2CID_(identifier),https://api.semanticscholar.org/CorpusID:44041769,https://web.archive.org/web/20220307214831/https://research.rug.nl/en/publications/the-paleogenetics-of-cat-dispersal-in-the-ancient-world,,,,,
37,"Faure, E.; Kitchener, A. C. (2009). ""An archaeological and historical review of the relationships between Felids and people"". Anthrozoös. 22 (3): 221−238. doi:10.2752/175303709X457577. S2CID 84308532.",/wiki/Doi_(identifier),https://doi.org/10.2752%2F175303709X457577,/wiki/S2CID_(identifier),https://api.semanticscholar.org/CorpusID:84308532,,,,,,,,,
38,"Ragni, B.; Possenti, M.; Sforzi, A.; Zavalloni, D.; Ciani, F. (1994). ""The wildcat in central-northern Italian peninsula: a biogeographical dilemma"" (PDF). Biogeographia. 17 (1). doi:10.21426/B617110417. Archived (PDF) from the original on 26 July 2018. Retrieved 29 August 2019.",https://cloudfront.escholarship.org/dist/prd/content/qt1dz6x5xf/qt1dz6x5xf.pdf,/wiki/Doi_(identifier),https://doi.org/10.21426%2FB617110417,https://web.archive.org/web/20180726121432/https://cloudfront.escholarship.org/dist/prd/content/qt1dz6x5xf/qt1dz6x5xf.pdf,,,,,,,,,
39,"Vigne, J.-D. (1992). ""Zooarchaeology and the biogeographical history of the mammals of Corsica and Sardinia since the last ice age"". Mammal Review. 22 (2): 87–96. doi:10.1111/j.1365-2907.1992.tb00124.x.",/wiki/Doi_(identifier),https://doi.org/10.1111%2Fj.1365-2907.1992.tb00124.x,,,,,,,,,,,
40,"Vigne, J.-D.; Evin, A.; Cucchi, T.; Dai, L.; Yu, C.; Hu, S.; Soulages, N.; Wang, W.; Sun, Z. (2016). ""Earliest 'domestic' cats in China identified as leopard cat (Prionailurus bengalensis)"". PLOS ONE. 11 (1): e0147295. Bibcode:2016PLoSO..1147295V. doi:10.1371/journal.pone.0147295. PMC 4723238. PMID 26799955.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4723238,/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2016PLoSO..1147295V,/wiki/Doi_(identifier),https://doi.org/10.1371%2Fjournal.pone.0147295,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4723238,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/26799955,,,,
41,"Cameron-Beaumont, C.; Lowe, S. E.; Bradshaw, J. W. S. (2002). ""Evidence suggesting pre-adaptation to domestication throughout the small Felidae"" (PDF). Biological Journal of the Linnean Society. 75 (3): 361–366. doi:10.1046/j.1095-8312.2002.00028.x. Archived (PDF) from the original on 10 October 2019. Retrieved 10 October 2019.",https://www.gwern.net/docs/catnip/2002-cameronbeaumont.pdf,/wiki/Doi_(identifier),https://doi.org/10.1046%2Fj.1095-8312.2002.00028.x,https://web.archive.org/web/20191010072239/https://www.gwern.net/docs/catnip/2002-cameronbeaumont.pdf,,,,,,,,,
42,"Bradshaw, J. W. S.; Horsfield, G. F.; Allen, J. A.; Robinson, I. H. (1999). ""Feral cats: Their role in the population dynamics of Felis catus"" (PDF). Applied Animal Behaviour Science. 65 (3): 273–283. doi:10.1016/S0168-1591(99)00086-6. Archived from the original (PDF) on 30 January 2019.",https://web.archive.org/web/20190130202509/https://www.gwern.net/docs/catnip/1999-bradshaw.pdf,/wiki/Doi_(identifier),https://doi.org/10.1016%2FS0168-1591%2899%2900086-6,https://www.gwern.net/docs/catnip/1999-bradshaw.pdf,,,,,,,,,
43,"Oliveira, R.; Godinho, R.; Randi, E.; Alves, P. C. (2008). ""Hybridization Versus Conservation: Are Domestic Cats Threatening the Genetic Integrity of Wildcats (Felis silvestris silvestris) in Iberian Peninsula?"". Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences. 363 (1505): 2953–2961. doi:10.1098/rstb.2008.0052. PMC 2606743. PMID 18522917.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2606743,/wiki/Doi_(identifier),https://doi.org/10.1098%2Frstb.2008.0052,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2606743,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/18522917,,,,,,
44,"Kitchener, C.; Easterbee, N. (1992). ""The taxonomic status of black wild felids in Scotland"". Journal of Zoology. 227 (2): 342–346. doi:10.1111/j.1469-7998.1992.tb04832.x.",/wiki/Doi_(identifier),https://doi.org/10.1111%2Fj.1469-7998.1992.tb04832.x,,,,,,,,,,,
45,"Wastlhuber, J. (1991). ""History of domestic cats and cat breeds"". In Pedersen, N. C. (ed.). Feline Husbandry: Diseases and management in the multiple-cat environment. Goleta: American Veterinary Publications. pp. 1–59. ISBN 9780939674299.",/wiki/ISBN_(identifier),/wiki/Special:BookSources/9780939674299,,,,,,,,,,,
